"","patent_number","citation_count"
"820","7828798",0
"821","RE41045",0
"822","8940056",0
"823","8842264",0
"824","7828790",0
"825","8343198",0
"826","7828794",0
"827","7155294",0
"828","7083639",0
"829","8089029",0
"830","7740980",0
"831","8579810",0
"832","8029459",31
"833","7044920",0
"834","7780290",0
"835","7575568",0
"836","7575569",0
"837","6858028",0
"838","8221744",0
"839","7357851",0
"840","8486984",0
"841","7728143",0
"842","7328069",0
"843","7328068",0
"844","8748394",0
"845","7854761",0
"846","8163123",0
"847","8067674",0
"848","7972375",0
"849","7972377",0
"850","7972370",0
"851","7972378",0
"852","7322832",0
"853","7369635",0
"854","7591030",0
"855","8626294",0
"856","8626297",0
"857","8626291",0
"858","8242102",0
"859","8480666",0
"860","8480665",0
"861","8480664",0
"862","8480663",0
"863","7758610",0
"864","8021416",183
"865","7702385",0
"866","8628523",0
"867","8231649",0
"868","8628527",0
"869","8231647",0
"870","7962202",0
"871","D696949",0
"872","8439820",0
"873","6991961",0
"874","8798723",0
"875","7985330",0
"876","8303601",0
"877","8168784",0
"878","8785129",0
"879","8317690",0
"880","7753881",0
"881","7753880",0
"882","7753883",0
"883","7814788",0
"884","8545479",0
"885","7412735",0
"886","7412734",0
"887","7412739",0
"888","7029460",13
"889","8187291",0
"890","8425545",0
"891","7429255",0
"892","8168165",0
"893","8865148",0
"894","8696729",0
"895","7632431",0
"896","8170657",0
"897","8298462",0
"898","7771740",0
"899","8298466",0
"900","8753659",0
"901","8512351",0
"902","8512350",0
"903","8512357",0
"904","7572287",0
"905","8512359",0
"906","8864816",0
"907","8864815",0
"908","8728170",0
"909","8165694",0
"910","7964209",0
"911","8613703",0
"912","7653425",0
"913","8920319",0
"914","8920312",0
"915","8920314",0
"916","8506527",0
"917","8603170",0
"918","6952613",0
"919","8506528",0
"920","7264588",0
"921","7026026",70
"922","7279582",0
"923","7960564",0
"924","7682401",0
"925","D702355",0
"926","8119153",0
"927","7887504",0
"928","7711428",0
"929","7704260",0
"930","7541077",0
"931","8690766",0
"932","7711421",0
"933","7806623",0
"934","7711423",0
"935","8632502",0
"936","8727200",0
"937","7037318",0
"938","8167929",0
"939","8055348",0
"940","7254443",0
"941","7254442",0
"942","7254441",0
"943","8551096",0
"944","8551091",0
"945","8073008",0
"946","8328844",0
"947","7254448",0
"948","8539949",0
"949","8892214",0
"950","6893429",0
"951","8892216",0
"952","8197633",0
"953","8353853",0
"954","RE44884",0
"955","7794483",0
"956","6913607",0
"957","8924161",0
"958","8924160",0
"959","8764723",0
"960","8172864",0
"961","8764725",0
